,used,exhausted,rounds
420,2.0,1.0,"[2, 8]"
2722,1.0,1.0,[76]
2735,0.0,0.0,[]
100,0.0,0.0,[]
2964,0.0,0.0,[]
1508,0.0,0.0,[]
3677,0.0,0.0,[]
2963,1.0,1.0,[69]
2314,1.0,1.0,[92]
3703,0.0,0.0,[]
193,2.0,1.0,"[57, 58]"
3510,3.0,1.0,"[34, 35, 36]"
689,1.0,1.0,[46]
3559,0.0,0.0,[]
578,4.0,1.0,"[10, 17, 25, 31]"
2056,0.0,0.0,[]
2103,4.0,1.0,"[66, 99, 134, 135]"
329,3.0,1.0,"[13, 14, 16]"
1075,2.0,1.0,"[142, 143]"
705,2.0,1.0,"[103, 110]"
1717,0.0,0.0,[]
24,0.0,0.0,[]
1341,0.0,0.0,[]
576,1.0,1.0,[128]
1985,0.0,0.0,[]
983,2.0,1.0,"[7, 43]"
2691,1.0,1.0,[98]
1226,2.0,1.0,"[144, 145]"
1362,0.0,0.0,[]
1639,0.0,0.0,[]
1810,2.0,1.0,"[134, 138]"
1096,0.0,0.0,[]
982,4.0,1.0,"[5, 22, 29, 30]"
1047,0.0,0.0,[]
1218,0.0,0.0,[]
712,0.0,0.0,[]
1298,1.0,1.0,[108]
3643,0.0,0.0,[]
2753,1.0,1.0,[29]
157,4.0,1.0,"[31, 32, 36, 37]"
2281,2.0,1.0,"[151, 152]"
1903,0.0,0.0,[]
3158,0.0,0.0,[]
1082,0.0,0.0,[]
264,1.0,1.0,[155]
130,0.0,0.0,[]
3255,2.0,1.0,"[29, 32]"
3463,0.0,0.0,[]
314,2.0,1.0,"[59, 61]"
1254,0.0,0.0,[]
2046,3.0,1.0,"[137, 138, 139]"
1291,0.0,0.0,[]
1357,0.0,0.0,[]
3201,0.0,0.0,[]
176,0.0,0.0,[]
2207,0.0,0.0,[]
325,0.0,0.0,[]
3101,0.0,0.0,[]
1710,0.0,0.0,[]
3066,0.0,0.0,[]
122,0.0,0.0,[]
564,0.0,0.0,[]
1334,1.0,1.0,[114]
3576,0.0,0.0,[]
2197,0.0,0.0,[]
3474,0.0,0.0,[]
1035,0.0,0.0,[]
1491,1.0,1.0,[125]
486,2.0,1.0,"[1, 5]"
3222,1.0,1.0,[141]
1317,0.0,0.0,[]
1311,0.0,0.0,[]
1476,1.0,0.0,[147]
2293,1.0,1.0,[137]
458,0.0,0.0,[]
3115,1.0,1.0,[77]
344,0.0,0.0,[]
2877,0.0,0.0,[]
2829,0.0,0.0,[]
942,0.0,0.0,[]
2310,0.0,0.0,[]
1178,0.0,0.0,[]
453,0.0,0.0,[]
2369,0.0,0.0,[]
2243,0.0,0.0,[]
1384,0.0,0.0,[]
2598,0.0,0.0,[]
279,1.0,1.0,[1]
1465,0.0,0.0,[]
3322,1.0,1.0,[130]
3676,3.0,1.0,"[82, 86, 88]"
2956,1.0,1.0,[50]
1596,1.0,1.0,[139]
518,2.0,1.0,"[120, 122]"
2803,3.0,1.0,"[126, 128, 129]"
1080,0.0,0.0,[]
3287,2.0,1.0,"[92, 94]"
2262,2.0,1.0,"[71, 72]"
3445,1.0,1.0,[44]
987,0.0,0.0,[]
3746,2.0,1.0,"[32, 34]"
2993,1.0,1.0,[52]
1601,0.0,0.0,[]
3348,2.0,1.0,"[13, 15]"
900,0.0,0.0,[]
2514,0.0,0.0,[]
573,3.0,1.0,"[14, 46, 49]"
3248,0.0,0.0,[]
3577,2.0,1.0,"[147, 148]"
2767,0.0,0.0,[]
1941,4.0,1.0,"[22, 89, 90, 91]"
2555,3.0,1.0,"[85, 86, 87]"
2339,1.0,1.0,[56]
988,2.0,1.0,"[95, 96]"
2498,0.0,0.0,[]
3299,1.0,1.0,[71]
1036,0.0,0.0,[]
403,1.0,1.0,[35]
3002,1.0,1.0,[32]
2349,0.0,0.0,[]
1364,1.0,1.0,[136]
600,2.0,1.0,"[134, 136]"
2937,3.0,1.0,"[50, 53, 55]"
3305,0.0,0.0,[]
589,2.0,1.0,"[110, 111]"
1727,1.0,1.0,[73]
1999,0.0,0.0,[]
2836,0.0,0.0,[]
690,0.0,0.0,[]
54,1.0,1.0,[4]
137,1.0,1.0,[51]
2776,0.0,0.0,[]
3038,0.0,0.0,[]
62,0.0,0.0,[]
869,0.0,0.0,[]
2661,1.0,1.0,[19]
2320,0.0,0.0,[]
2867,2.0,1.0,"[93, 94]"
1142,0.0,0.0,[]
494,0.0,0.0,[]
1754,0.0,0.0,[]
3451,1.0,1.0,[129]
1077,1.0,1.0,[15]
1065,1.0,1.0,[11]
3334,0.0,0.0,[]
3409,0.0,0.0,[]
1237,0.0,0.0,[]
3636,1.0,1.0,[89]
3339,2.0,1.0,"[102, 103]"
3092,0.0,0.0,[]
1189,0.0,0.0,[]
3277,0.0,0.0,[]
3546,0.0,0.0,[]
561,0.0,0.0,[]
2576,0.0,0.0,[]
492,4.0,1.0,"[68, 71, 72, 74]"
2047,0.0,0.0,[]
673,5.0,1.0,"[4, 6, 7, 8, 11]"
165,0.0,0.0,[]
2573,1.0,1.0,[155]
3390,2.0,1.0,"[105, 108]"
2043,0.0,0.0,[]
73,1.0,1.0,[41]
3141,1.0,1.0,[85]
2483,4.0,1.0,"[67, 73, 75, 78]"
853,0.0,0.0,[]
109,0.0,0.0,[]
3288,2.0,1.0,"[81, 91]"
3748,0.0,0.0,[]
1058,0.0,0.0,[]
1109,3.0,1.0,"[99, 123, 162]"
188,1.0,1.0,[51]
2828,0.0,0.0,[]
2715,0.0,0.0,[]
1594,0.0,0.0,[]
2362,0.0,0.0,[]
3433,1.0,1.0,[142]
423,1.0,1.0,[61]
48,2.0,1.0,"[8, 9]"
3705,2.0,1.0,"[144, 145]"
1039,0.0,0.0,[]
656,0.0,0.0,[]
1683,2.0,1.0,"[11, 122]"
574,3.0,0.0,"[125, 150, 153]"
156,1.0,1.0,[8]
1155,2.0,1.0,"[10, 94]"
1658,1.0,1.0,[162]
291,4.0,1.0,"[5, 6, 7, 9]"
1747,0.0,0.0,[]
2891,0.0,0.0,[]
1576,1.0,1.0,[96]
1095,2.0,1.0,"[24, 108]"
1886,0.0,0.0,[]
685,2.0,0.0,"[99, 149]"
2700,0.0,0.0,[]
1439,1.0,0.0,[156]
3487,2.0,1.0,"[13, 15]"
3214,0.0,0.0,[]
1701,1.0,1.0,[85]
2355,0.0,0.0,[]
562,0.0,0.0,[]
2751,0.0,0.0,[]
3516,3.0,1.0,"[10, 20, 21]"
1913,0.0,0.0,[]
3456,0.0,0.0,[]
1455,2.0,1.0,"[46, 143]"
717,2.0,1.0,"[48, 60]"
2720,1.0,1.0,[25]
737,0.0,0.0,[]
3693,1.0,1.0,[97]
1961,1.0,1.0,[75]
1992,0.0,0.0,[]
3268,2.0,1.0,"[68, 74]"
823,4.0,1.0,"[5, 17, 19, 22]"
3558,0.0,0.0,[]
147,3.0,1.0,"[81, 82, 106]"
1212,1.0,1.0,[100]
1606,2.0,0.0,"[50, 118]"
1286,1.0,1.0,[2]
3399,3.0,1.0,"[121, 124, 125]"
3431,0.0,0.0,[]
2473,1.0,1.0,[59]
481,0.0,0.0,[]
3540,1.0,1.0,[142]
1371,2.0,1.0,"[19, 146]"
1515,1.0,0.0,[119]
143,1.0,1.0,[53]
179,3.0,1.0,"[38, 47, 48]"
757,0.0,0.0,[]
754,1.0,1.0,[28]
2075,0.0,0.0,[]
917,0.0,0.0,[]
2245,1.0,0.0,[127]
3613,1.0,1.0,[58]
2604,1.0,0.0,[149]
1914,1.0,1.0,[93]
35,0.0,0.0,[]
440,0.0,0.0,[]
707,4.0,1.0,"[19, 20, 39, 40]"
1213,1.0,1.0,[67]
698,0.0,0.0,[]
822,0.0,0.0,[]
436,1.0,1.0,[86]
3503,1.0,1.0,[151]
2380,1.0,1.0,[117]
2116,0.0,0.0,[]
2136,0.0,0.0,[]
3070,0.0,0.0,[]
3218,0.0,0.0,[]
3131,0.0,0.0,[]
454,1.0,0.0,[135]
441,1.0,1.0,[138]
598,4.0,1.0,"[54, 59, 62, 63]"
3104,2.0,1.0,"[113, 115]"
2190,1.0,1.0,[92]
1111,1.0,1.0,[134]
984,0.0,0.0,[]
2175,0.0,0.0,[]
3382,0.0,0.0,[]
1398,0.0,0.0,[]
293,1.0,1.0,[109]
503,0.0,0.0,[]
1167,0.0,0.0,[]
245,3.0,1.0,"[1, 3, 5]"
1824,1.0,1.0,[9]
776,2.0,1.0,"[58, 63]"
2013,0.0,0.0,[]
3725,0.0,0.0,[]
464,1.0,1.0,[95]
2039,1.0,1.0,[17]
1233,1.0,1.0,[9]
985,0.0,0.0,[]
3067,0.0,0.0,[]
1994,0.0,0.0,[]
590,2.0,1.0,"[80, 99]"
2284,0.0,0.0,[]
1412,0.0,0.0,[]
3520,1.0,1.0,[140]
128,2.0,1.0,"[112, 135]"
476,1.0,0.0,[94]
59,4.0,1.0,"[105, 107, 109, 110]"
2406,0.0,0.0,[]
1870,0.0,0.0,[]
921,1.0,1.0,[25]
1335,0.0,0.0,[]
1032,1.0,1.0,[73]
2273,0.0,0.0,[]
1960,0.0,0.0,[]
2611,0.0,0.0,[]
696,0.0,0.0,[]
3484,0.0,0.0,[]
2599,0.0,0.0,[]
2924,0.0,0.0,[]
2650,0.0,0.0,[]
602,0.0,0.0,[]
87,0.0,0.0,[]
2885,2.0,1.0,"[80, 93]"
3258,3.0,1.0,"[104, 105, 106]"
2607,0.0,0.0,[]
1660,0.0,0.0,[]
2122,0.0,0.0,[]
2137,0.0,0.0,[]
3017,0.0,0.0,[]
2374,0.0,0.0,[]
55,0.0,0.0,[]
3655,0.0,0.0,[]
3144,0.0,0.0,[]
3548,1.0,1.0,[95]
2745,1.0,1.0,[127]
2707,0.0,0.0,[]
2792,1.0,1.0,[42]
3634,3.0,1.0,"[49, 50, 51]"
2178,0.0,0.0,[]
2704,2.0,1.0,"[158, 159]"
909,2.0,0.0,"[87, 141]"
1669,0.0,0.0,[]
1656,2.0,1.0,"[79, 100]"
1833,8.0,1.0,"[24, 26, 27, 28, 29, 30, 31, 32]"
867,0.0,0.0,[]
1982,1.0,1.0,[20]
2388,0.0,0.0,[]
903,1.0,1.0,[7]
1758,0.0,0.0,[]
1525,2.0,1.0,"[18, 142]"
3356,1.0,1.0,[90]
3604,0.0,0.0,[]
2210,0.0,0.0,[]
1421,1.0,1.0,[43]
2126,2.0,1.0,"[46, 71]"
3554,0.0,0.0,[]
2280,0.0,0.0,[]
1010,1.0,1.0,[151]
1374,0.0,0.0,[]
2806,0.0,0.0,[]
2949,2.0,1.0,"[133, 134]"
1171,2.0,1.0,"[73, 88]"
95,2.0,1.0,"[32, 37]"
803,1.0,1.0,[7]
1599,2.0,1.0,"[39, 81]"
529,1.0,1.0,[84]
1507,1.0,1.0,[116]
3732,0.0,0.0,[]
879,1.0,0.0,[112]
922,0.0,0.0,[]
1493,0.0,0.0,[]
877,0.0,0.0,[]
1722,0.0,0.0,[]
2157,2.0,1.0,"[103, 151]"
2871,0.0,0.0,[]
2855,1.0,1.0,[157]
3373,2.0,1.0,"[32, 44]"
842,1.0,0.0,[90]
1673,2.0,1.0,"[136, 138]"
2434,0.0,0.0,[]
3181,2.0,1.0,"[104, 105]"
3293,1.0,1.0,[101]
3519,1.0,1.0,[125]
1538,0.0,0.0,[]
2848,0.0,0.0,[]
479,1.0,0.0,[139]
3295,1.0,1.0,[43]
2191,1.0,1.0,[18]
2254,0.0,0.0,[]
3601,1.0,1.0,[116]
3719,0.0,0.0,[]
2888,4.0,1.0,"[77, 99, 100, 101]"
1052,0.0,0.0,[]
1127,0.0,0.0,[]
3098,1.0,0.0,[140]
591,0.0,0.0,[]
3743,0.0,0.0,[]
2215,1.0,1.0,[158]
1185,0.0,0.0,[]
1456,3.0,1.0,"[49, 85, 157]"
1066,1.0,1.0,[38]
1427,1.0,1.0,[87]
2917,1.0,1.0,[134]
1571,1.0,1.0,[92]
2543,0.0,0.0,[]
324,2.0,1.0,"[86, 87]"
1882,0.0,0.0,[]
2276,1.0,0.0,[95]
709,1.0,1.0,[113]
3083,0.0,0.0,[]
2305,1.0,1.0,[108]
2173,1.0,1.0,[132]
2455,0.0,0.0,[]
2943,0.0,0.0,[]
3578,0.0,0.0,[]
3543,0.0,0.0,[]
3686,0.0,0.0,[]
1998,1.0,0.0,[77]
1603,1.0,0.0,[91]
540,1.0,1.0,[103]
2218,0.0,0.0,[]
1547,0.0,0.0,[]
3145,1.0,1.0,[21]
2209,1.0,1.0,[7]
1542,0.0,0.0,[]
3273,1.0,1.0,[146]
569,1.0,1.0,[93]
2144,2.0,1.0,"[103, 149]"
2967,2.0,1.0,"[102, 110]"
3106,7.0,1.0,"[144, 145, 148, 149, 150, 151, 152]"
1646,0.0,0.0,[]
133,4.0,1.0,"[29, 154, 155, 156]"
2425,0.0,0.0,[]
901,4.0,1.0,"[4, 6, 40, 49]"
3471,1.0,1.0,[93]
3393,4.0,1.0,"[104, 105, 106, 107]"
158,1.0,1.0,[159]
404,1.0,1.0,[73]
2053,0.0,0.0,[]
2780,2.0,1.0,"[98, 101]"
2558,0.0,0.0,[]
595,0.0,0.0,[]
2359,1.0,0.0,[126]
230,0.0,0.0,[]
1447,5.0,1.0,"[146, 152, 153, 154, 155]"
407,0.0,0.0,[]
904,0.0,0.0,[]
3031,3.0,1.0,"[137, 138, 139]"
3369,0.0,0.0,[]
3423,0.0,0.0,[]
2529,0.0,0.0,[]
3016,1.0,0.0,[152]
446,1.0,1.0,[122]
2670,0.0,0.0,[]
1509,3.0,1.0,"[53, 124, 139]"
3079,1.0,1.0,[96]
2408,1.0,1.0,[147]
1896,0.0,0.0,[]
2449,0.0,0.0,[]
1623,1.0,1.0,[155]
295,0.0,0.0,[]
1567,2.0,1.0,"[63, 154]"
3194,1.0,1.0,[102]
3715,0.0,0.0,[]
2289,0.0,0.0,[]
1093,3.0,1.0,"[107, 108, 118]"
3640,0.0,0.0,[]
153,2.0,1.0,"[64, 70]"
1691,1.0,0.0,[127]
2149,0.0,0.0,[]
2164,3.0,1.0,"[102, 103, 106]"
1531,1.0,1.0,[75]
2799,0.0,0.0,[]
809,1.0,1.0,[16]
2997,0.0,0.0,[]
51,0.0,0.0,[]
1443,0.0,0.0,[]
1331,1.0,1.0,[88]
1006,6.0,1.0,"[123, 124, 128, 129, 131, 132]"
2052,2.0,1.0,"[106, 107]"
545,1.0,1.0,[84]
864,1.0,1.0,[107]
2741,0.0,0.0,[]
3524,2.0,1.0,"[13, 14]"
1752,1.0,1.0,[49]
1574,0.0,0.0,[]
2448,5.0,1.0,"[27, 101, 102, 103, 104]"
863,1.0,1.0,[98]
1777,1.0,1.0,[6]
3189,1.0,1.0,[42]
2419,0.0,0.0,[]
742,0.0,0.0,[]
2946,0.0,0.0,[]
302,1.0,1.0,[2]
1592,0.0,0.0,[]
916,2.0,1.0,"[77, 125]"
2082,0.0,0.0,[]
1739,2.0,1.0,"[19, 23]"
2834,0.0,0.0,[]
56,1.0,1.0,[14]
3597,0.0,0.0,[]
1956,0.0,0.0,[]
1051,2.0,1.0,"[125, 126]"
3476,0.0,0.0,[]
2524,10.0,1.0,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
923,1.0,1.0,[5]
3326,1.0,1.0,[53]
1749,1.0,1.0,[3]
2547,0.0,0.0,[]
194,5.0,1.0,"[1, 2, 6, 8, 10]"
2169,0.0,0.0,[]
974,0.0,0.0,[]
3698,0.0,0.0,[]
3265,1.0,1.0,[96]
2583,0.0,0.0,[]
512,1.0,1.0,[44]
2817,0.0,0.0,[]
2055,0.0,0.0,[]
1768,1.0,1.0,[12]
2054,1.0,0.0,[135]
20,1.0,1.0,[10]
498,1.0,1.0,[1]
3126,1.0,1.0,[33]
2443,1.0,1.0,[34]
3359,2.0,1.0,"[106, 108]"
1069,2.0,1.0,"[12, 13]"
2023,1.0,1.0,[6]
405,0.0,0.0,[]
868,3.0,1.0,"[10, 31, 32]"
3180,0.0,0.0,[]
116,1.0,1.0,[1]
739,0.0,0.0,[]
1811,0.0,0.0,[]
1001,0.0,0.0,[]
1411,0.0,0.0,[]
2566,1.0,1.0,[100]
426,1.0,1.0,[16]
906,2.0,1.0,"[53, 68]"
3026,1.0,1.0,[141]
3612,1.0,1.0,[162]
3276,0.0,0.0,[]
905,1.0,1.0,[138]
315,1.0,0.0,[138]
2163,0.0,0.0,[]
1134,3.0,1.0,"[39, 70, 89]"
1494,0.0,0.0,[]
3329,0.0,0.0,[]
3195,0.0,0.0,[]
1163,0.0,0.0,[]
376,0.0,0.0,[]
2759,0.0,0.0,[]
2521,0.0,0.0,[]
3049,0.0,0.0,[]
2868,4.0,1.0,"[93, 111, 112, 113]"
2471,0.0,0.0,[]
565,1.0,1.0,[97]
1204,3.0,1.0,"[20, 33, 36]"
944,2.0,1.0,"[147, 163]"
2486,1.0,1.0,[33]
979,1.0,1.0,[60]
3739,0.0,0.0,[]
3669,0.0,0.0,[]
3099,2.0,1.0,"[95, 112]"
200,1.0,1.0,[66]
3270,0.0,0.0,[]
191,0.0,0.0,[]
1991,0.0,0.0,[]
247,1.0,1.0,[4]
2413,0.0,0.0,[]
2797,0.0,0.0,[]
2193,1.0,0.0,[91]
836,4.0,1.0,"[57, 62, 63, 73]"
312,0.0,0.0,[]
3229,0.0,0.0,[]
2465,0.0,0.0,[]
2372,0.0,0.0,[]
41,4.0,1.0,"[62, 64, 68, 69]"
375,1.0,1.0,[153]
971,0.0,0.0,[]
1521,0.0,0.0,[]
577,1.0,0.0,[113]
2081,6.0,1.0,"[27, 34, 35, 36, 37, 38]"
3477,0.0,0.0,[]
1372,2.0,1.0,"[119, 125]"
1250,1.0,1.0,[15]
1008,1.0,1.0,[4]
2669,2.0,1.0,"[14, 17]"
2577,0.0,0.0,[]
2074,0.0,0.0,[]
2307,0.0,0.0,[]
3729,0.0,0.0,[]
541,0.0,0.0,[]
262,2.0,1.0,"[95, 122]"
940,1.0,0.0,[118]
606,0.0,0.0,[]
833,2.0,1.0,"[89, 90]"
2051,2.0,1.0,"[68, 69]"
3346,1.0,1.0,[153]
300,1.0,1.0,[129]
3404,1.0,1.0,[122]
1165,0.0,0.0,[]
1737,0.0,0.0,[]
2827,0.0,0.0,[]
40,0.0,0.0,[]
1023,0.0,0.0,[]
785,0.0,0.0,[]
2080,0.0,0.0,[]
1088,0.0,0.0,[]
873,1.0,1.0,[106]
3211,1.0,1.0,[66]
2036,1.0,0.0,[141]
163,1.0,1.0,[38]
1247,1.0,1.0,[94]
1091,0.0,0.0,[]
1369,1.0,1.0,[95]
242,2.0,1.0,"[17, 19]"
2436,1.0,1.0,[136]
2523,0.0,0.0,[]
2892,0.0,0.0,[]
1814,0.0,0.0,[]
755,0.0,0.0,[]
1662,1.0,1.0,[160]
1654,0.0,0.0,[]
1308,2.0,1.0,"[113, 119]"
1513,0.0,0.0,[]
1060,2.0,1.0,"[6, 48]"
1952,0.0,0.0,[]
1965,2.0,1.0,"[111, 142]"
1429,1.0,1.0,[57]
3565,1.0,1.0,[143]
2911,0.0,0.0,[]
1604,1.0,0.0,[159]
2168,0.0,0.0,[]
2832,0.0,0.0,[]
1216,1.0,1.0,[18]
862,1.0,0.0,[122]
2635,1.0,1.0,[160]
2398,1.0,1.0,[46]
14,1.0,1.0,[58]
1787,0.0,0.0,[]
1953,0.0,0.0,[]
3509,0.0,0.0,[]
2786,1.0,1.0,[126]
435,1.0,1.0,[88]
1038,0.0,0.0,[]
2982,4.0,1.0,"[69, 70, 72, 73]"
821,1.0,0.0,[149]
1173,1.0,1.0,[9]
3492,0.0,0.0,[]
3052,2.0,1.0,"[25, 95]"
2818,2.0,1.0,"[102, 105]"
1686,1.0,1.0,[130]
2789,0.0,0.0,[]
3531,1.0,1.0,[27]
3579,2.0,1.0,"[148, 153]"
2641,4.0,1.0,"[132, 134, 136, 137]"
926,1.0,0.0,[156]
3310,3.0,1.0,"[55, 64, 65]"
1270,0.0,0.0,[]
735,4.0,1.0,"[115, 131, 134, 144]"
860,1.0,1.0,[35]
645,0.0,0.0,[]
2517,1.0,1.0,[30]
3533,0.0,0.0,[]
3125,0.0,0.0,[]
3518,0.0,0.0,[]
898,2.0,1.0,"[58, 60]"
330,1.0,1.0,[26]
1864,0.0,0.0,[]
2897,1.0,1.0,[69]
2772,1.0,1.0,[152]
560,4.0,1.0,"[4, 15, 61, 64]"
1794,4.0,1.0,"[58, 59, 60, 61]"
588,1.0,1.0,[79]
3122,1.0,1.0,[117]
2910,5.0,1.0,"[49, 52, 55, 56, 58]"
1236,1.0,0.0,[26]
3323,0.0,0.0,[]
2032,0.0,0.0,[]
2387,0.0,0.0,[]
1520,0.0,0.0,[]
2614,0.0,0.0,[]
1100,0.0,0.0,[]
3592,0.0,0.0,[]
3010,0.0,0.0,[]
2907,0.0,0.0,[]
614,0.0,0.0,[]
1765,2.0,1.0,"[26, 41]"
3186,0.0,0.0,[]
1395,1.0,0.0,[140]
2714,1.0,1.0,[40]
1003,1.0,1.0,[38]
1343,3.0,1.0,"[2, 8, 14]"
787,0.0,0.0,[]
3313,1.0,1.0,[153]
684,1.0,1.0,[85]
2360,2.0,1.0,"[145, 146]"
2154,0.0,0.0,[]
1522,2.0,1.0,"[51, 56]"
2474,3.0,1.0,"[23, 26, 27]"
1894,0.0,0.0,[]
958,2.0,1.0,"[57, 92]"
2541,0.0,0.0,[]
331,0.0,0.0,[]
2626,0.0,0.0,[]
2371,0.0,0.0,[]
1201,1.0,0.0,[75]
1041,1.0,1.0,[26]
3588,0.0,0.0,[]
2605,1.0,1.0,[43]
850,2.0,1.0,"[66, 110]"
1147,5.0,1.0,"[7, 11, 39, 40, 50]"
1806,0.0,0.0,[]
1927,0.0,0.0,[]
740,1.0,1.0,[47]
1897,0.0,0.0,[]
2676,0.0,0.0,[]
1672,1.0,1.0,[25]
3589,0.0,0.0,[]
1819,1.0,1.0,[53]
231,1.0,1.0,[41]
3432,0.0,0.0,[]
2872,3.0,1.0,"[31, 42, 44]"
930,0.0,0.0,[]
321,1.0,1.0,[163]
2983,1.0,1.0,[65]
677,1.0,0.0,[73]
186,1.0,1.0,[116]
2393,0.0,0.0,[]
2938,1.0,1.0,[161]
3360,0.0,0.0,[]
1366,0.0,0.0,[]
3306,1.0,1.0,[88]
1610,0.0,0.0,[]
3060,1.0,1.0,[34]
274,0.0,0.0,[]
129,1.0,1.0,[37]
2221,0.0,0.0,[]
111,3.0,1.0,"[72, 84, 106]"
308,0.0,0.0,[]
3628,0.0,0.0,[]
419,1.0,1.0,[5]
1273,4.0,1.0,"[27, 78, 85, 91]"
1062,4.0,1.0,"[39, 71, 100, 138]"
248,3.0,1.0,"[12, 13, 14]"
1287,1.0,1.0,[105]
3666,0.0,0.0,[]
2603,1.0,1.0,[44]
1324,3.0,1.0,"[160, 161, 162]"
2344,0.0,0.0,[]
1228,5.0,1.0,"[82, 90, 97, 98, 100]"
1007,0.0,0.0,[]
1070,0.0,0.0,[]
305,0.0,0.0,[]
2861,0.0,0.0,[]
2332,0.0,0.0,[]
2535,1.0,1.0,[65]
2278,0.0,0.0,[]
2255,3.0,1.0,"[114, 120, 121]"
1702,1.0,0.0,[85]
791,4.0,1.0,"[7, 12, 13, 14]"
2825,2.0,1.0,"[97, 98]"
3614,0.0,0.0,[]
1890,0.0,0.0,[]
3219,0.0,0.0,[]
2283,0.0,0.0,[]
3286,1.0,1.0,[49]
1368,2.0,1.0,"[148, 149]"
1219,0.0,0.0,[]
2321,1.0,1.0,[47]
126,1.0,1.0,[138]
3567,0.0,0.0,[]
3042,1.0,1.0,[133]
3625,0.0,0.0,[]
2328,1.0,1.0,[43]
180,0.0,0.0,[]
3448,2.0,1.0,"[21, 25]"
1276,0.0,0.0,[]
1284,1.0,1.0,[15]
483,0.0,0.0,[]
2475,0.0,0.0,[]
2716,1.0,1.0,[156]
1260,0.0,0.0,[]
2025,0.0,0.0,[]
2337,0.0,0.0,[]
1125,3.0,1.0,"[60, 63, 64]"
2942,1.0,1.0,[136]
301,1.0,1.0,[157]
1049,0.0,0.0,[]
723,0.0,0.0,[]
1045,0.0,0.0,[]
2809,0.0,0.0,[]
359,0.0,0.0,[]
2589,1.0,1.0,[29]
1078,1.0,1.0,[61]
2775,0.0,0.0,[]
3367,0.0,0.0,[]
2565,1.0,1.0,[27]
2901,0.0,0.0,[]
2684,0.0,0.0,[]
121,2.0,1.0,"[50, 65]"
1591,0.0,0.0,[]
2929,0.0,0.0,[]
46,0.0,0.0,[]
1505,0.0,0.0,[]
3024,0.0,0.0,[]
3319,0.0,0.0,[]
2399,1.0,1.0,[115]
1756,0.0,0.0,[]
856,0.0,0.0,[]
3420,0.0,0.0,[]
1888,0.0,0.0,[]
1004,3.0,1.0,"[61, 69, 76]"
2440,1.0,1.0,[135]
345,3.0,1.0,"[132, 133, 159]"
437,0.0,0.0,[]
3511,1.0,1.0,[156]
557,0.0,0.0,[]
3100,0.0,0.0,[]
1196,0.0,0.0,[]
1945,2.0,1.0,"[41, 42]"
2496,1.0,1.0,[26]
246,0.0,0.0,[]
2880,3.0,1.0,"[11, 13, 14]"
1577,1.0,0.0,[143]
228,0.0,0.0,[]
272,0.0,0.0,[]
3235,0.0,0.0,[]
941,2.0,0.0,"[97, 133]"
654,2.0,1.0,"[122, 131]"
2779,3.0,1.0,"[39, 58, 63]"
3744,2.0,1.0,"[109, 112]"
889,1.0,1.0,[117]
1422,0.0,0.0,[]
2909,1.0,1.0,[61]
884,1.0,1.0,[5]
2981,1.0,0.0,[57]
1524,0.0,0.0,[]
1076,0.0,0.0,[]
1990,1.0,1.0,[114]
2705,1.0,0.0,[161]
208,0.0,0.0,[]
171,1.0,1.0,[36]
3121,0.0,0.0,[]
3160,0.0,0.0,[]
1433,1.0,1.0,[49]
2632,0.0,0.0,[]
3150,0.0,0.0,[]
771,0.0,0.0,[]
3465,0.0,0.0,[]
1361,0.0,0.0,[]
250,2.0,1.0,"[67, 70]"
3441,0.0,0.0,[]
110,1.0,1.0,[87]
1536,0.0,0.0,[]
2478,0.0,0.0,[]
945,1.0,1.0,[59]
2568,2.0,1.0,"[146, 147]"
1192,0.0,0.0,[]
1215,4.0,1.0,"[68, 73, 74, 75]"
3137,1.0,1.0,[54]
840,3.0,1.0,"[54, 114, 116]"
1363,2.0,1.0,"[116, 128]"
1177,2.0,1.0,"[88, 139]"
1978,1.0,1.0,[4]
3110,0.0,0.0,[]
950,2.0,1.0,"[55, 86]"
2127,1.0,1.0,[131]
2575,0.0,0.0,[]
2405,1.0,1.0,[159]
812,2.0,1.0,"[13, 22]"
159,3.0,1.0,"[48, 71, 80]"
1590,0.0,0.0,[]
1648,5.0,1.0,"[40, 79, 80, 83, 87]"
1922,0.0,0.0,[]
105,0.0,0.0,[]
895,0.0,0.0,[]
1636,1.0,1.0,[99]
1795,0.0,0.0,[]
2079,1.0,1.0,[107]
3008,0.0,0.0,[]
1866,0.0,0.0,[]
3584,2.0,1.0,"[152, 154]"
500,2.0,1.0,"[159, 161]"
3553,0.0,0.0,[]
3611,0.0,0.0,[]
2582,0.0,0.0,[]
817,1.0,1.0,[113]
3089,1.0,1.0,[127]
2945,3.0,1.0,"[109, 110, 111]"
1873,1.0,1.0,[39]
3357,3.0,1.0,"[147, 154, 155]"
3500,0.0,0.0,[]
1262,0.0,0.0,[]
3602,0.0,0.0,[]
2807,2.0,1.0,"[125, 161]"
718,0.0,0.0,[]
1546,0.0,0.0,[]
2469,0.0,0.0,[]
104,3.0,1.0,"[20, 48, 49]"
691,1.0,1.0,[46]
1229,0.0,0.0,[]
2977,1.0,1.0,[140]
238,1.0,1.0,[91]
60,0.0,0.0,[]
1790,0.0,0.0,[]
3658,0.0,0.0,[]
150,1.0,0.0,[144]
2954,0.0,0.0,[]
2784,0.0,0.0,[]
